PartNumber;CAI;CAD;Modelo;TipoProduto;UnidadeMedida;Volume;Altura;Largura;Comprimento
4371;4371;004371_101;280/75 R 22.5 X TERMINAL;Pneu;Peca;276;27.9;99.5;99.5
18130;18130;018130_9GA;PROTETOR 24/25X8.50 E MI;Protetor;Peca;0;0;0;0
36702;36702;036702_199;STRAPS VERSION 1 - ORDER X BOX;MEMS;Peca;0;0;0;0
39149;39149;039149_101;26.5 R 25 XTXL E4 **** L4 *** TL;Pneu;Peca;0;0;0;0
59962;59962;059962_199;MEMS PATCHES RETROFIT;MEMS;Peca;0;0;0;0
68685;68685;068685_199;MEMS TRANSCEIVER - A ALUMINIUM + CAN SPLITTER;MEMS;Peca;0;0;0;0
84179;84179;084179_101;14.00 R 24 XZM TL 193 A5 STABIL X;Pneu;Peca;768;38.3;141.6;141.6
100054;100054;100054_101;340/80 R18 143A8/143B IND TL XMCL;Pneu;Peca;495;34;100;100
101040;101040;101040_9FB;CAMARA 9F  v.570;Camara;Peca;0;0;0;0
101049;101049;101049_9CB;CAMARA 10F v.1012;Camara;Peca;0;0;0;0
101071;101071;101071_9CB;CAMARA 15/16F v.570;Camara;Peca;0;0;0;0
101078;101078;101078_9FB;CAMARA 12H v.578;Camara;Peca;0;0;0;0
101106;101106;101106_9CB;CAMARA 15/16J v.570;Camara;Peca;0;0;0;0
101128;101128;101128_9DF;CAMARA 15K v.1156;Camara;Peca;0;0;0;0
101192;101192;101192_9CF;CAMARA 20Q v.1158;Camara;Peca;0;0;0;0
101196;101196;101196_9EF;CAMARA 24Q v.582;Camara;Peca;0;0.05;0.05;0.05
101475;101475;101475_101;18.00 R 25 X-STACKER2 TL 207 A;Pneu;Peca;0;0;0;0
102870;102870;102870_9BB;PROTETOR 200-20 L;Protetor;Peca;0;0;0;0
110013;110013;110013_129;395/85 R 20 XZL TL;Pneu;Peca;418;32.4;113.6;113.6
110014;110014;110014_101;10.00 R 20 XZM TL 166A5;Pneu;Peca;336;29.5;106.8;106.8
110069;110069;110069_101;180/70 R 8 XZM TL 125 A5;Pneu;Peca;0;0;0;0
110075;110075;110075_101;250/70 R 15 XZM TL 153 A5;Pneu;Peca;135;25;73.6;73.6
110079;110079;110079_101;225/75 R 15 XZM TL 149 A5;Pneu;Peca;113;22.5;70.8;70.8
110082;110082;110082_101;12.00 R 20 XZM TL 176 A5;Pneu;Peca;418;32.4;113.6;113.6
110089;110089;110089_101;225/75 R 10 XZM TL 142 A5;Pneu;Peca;0;0;0;0
110109;110109;110109_101; 315/70 R 15 XZM TL 165 A5;Pneu;Peca;226;32.1;83.9;83.9
110185;110185;110185_101;9.00 R 20 XZM TL 160 A5;Pneu;Peca;279;27.1;103.3;99.5
110195;110195;110195_101;7.00 R 12 XZM TL 136 A5;Pneu;Peca;88;19.6;67.1;67.1
110204;110204;110204_101; 6.00 R 9 XZM TL 121 A5;Pneu;Peca;48;16.4;53.9;53.9
110211;110211;110211_101;7.00 R 15 XZM TL 143 A5;Pneu;Peca;105;19.6;73.3;73.3
110213;110213;110213_101;6.50 R 10 XZM TL 128 A5;Pneu;Peca;64;18.6;58.7;58.7
110214;110214;110214_101;7.50 R 15 XZM TL 146 A5;Pneu;Peca;126;21.2;77.1;77.1
110218;110218;110218_101;8.25 R 15 XZM TL 153 A5;Pneu;Peca;167;24;83.5;83.5
110974;567304;567304_101;275/80 R 22.5 X WORKS Z TL ;Pneu;Peca;0;0;0;0
111168;111168;111168_101;29.5 R 25 X-SUPER TERRAIN AD E4T;Pneu;Peca;2686;76.9;186.9;186.9
111555;111555;111555_101;9.00 R 20 XZY 2;Pneu;Peca;308;27.7;105.4;105.4
112538;112538;112538_199;KIT 3G/WIFI/BT/GPS ANTENNA  8m;MEMS;Peca;0;0;0;0
123009;717546;717546_101;17.5 R 25 XHA2 L3 TL * 176A2;Pneu;Peca;0;0;0;0
123021;123021;123021_101;18.00 R 25 XHD1 B TL **;Pneu;Peca;1461;52.5;166.8;166.8
123094;123094;123094_101;26.5 R 25 XLD D2 A TL *;Pneu;Peca;1690;61.2;166.2;166.2
123278;123278;123278_101;29.5 R 25 XLD D2 A TL *;Pneu;Peca;2751;76.2;190;190
123279;123279;123279_101;29.5 R 29 XLD D2 A TL *;Pneu;Peca;3100;77.2;200.4;200.4
123317;123317;123317_101;17.5 R 25 XLD D2 A TL *;Pneu;Peca;897;45.4;140.6;140.6
123325;123325;123325_101;20.5 R 25 XLD D2 A TL *;Pneu;Peca;1250;53.4;153;153
123326;123326;123326_101;23.5 R 25 XLD D2 A TL *;Pneu;Peca;1690;61.2;166.2;166.2
123331;123331;123331_101;14.00 R 25 XHD1 A TL ***;Pneu;Peca;797;40.1;141;141
123350;123350;123350_101;16.00 R 25 XHD1 A TL **;Pneu;Peca;1096;46.2;154;154
123369;123369;123369_101;12.00 R 24 XZH ***;Pneu;Peca;508;32.1;125.8;125.8
123382;123382;123382_101; 9.00 R 20 XMINE D2;Pneu;Peca;308;27.7;105.4;105.4
123395;123395;123395_101;14.00 R 24 XGL A2 TL TG *;Pneu;Peca;686;37.1;136;136
123407;123407;123407_101;20.5 R 25 XADN E3T TL 177B;Pneu;Peca;1172;52.8;149;149
123417;123417;123417_101;23.5 R 25 XADN E3T TL 185B;Pneu;Peca;1537;60.2;159.8;159.8
123425;123425;123425_101;17.5 R 25 XTL A TL *;Pneu;Peca;820;45.9;133.7;133.7
123427;123427;123427_101;26.5 R 25 XADN E3T TL 193B;Pneu;Peca;2047;68.7;172.6;172.6
123435;123435;123435_101;20.5 R 25 XTL A TL *;Pneu;Peca;1165;53.2;148;148
123437;123437;123437_101;29.5 R 25 XADN E3T TL 200B;Pneu;Peca;2565;74.3;185.8;185.8
123597;123597;123597_101;14.00 R 24 XSM D2 + TL;Pneu;Peca;780;40.1;139.5;139.5
123677;123677;123677_101;23.5 R 25 XSM D2 + TL;Pneu;Peca;1686;61.7;165.3;165.3
123687;123687;123687_101;26.5 R 25 XSM D2 + TL;Pneu;Peca;2217;69.2;179;179
123707;218365;218365_101;17.5 R 25 XSM D2 + TL **;Pneu;Peca;0;0;0;0
123881;123881;123881_101;21.00 R 35 XDT B E4T TL **;Pneu;Peca;2449;57.6;206.2;206.2
123931;302244;302244_101;24.00 R35 XTRA LOAD GRIP B;Pneu;Peca;3048;65.2;216.2;216.2
139147;139147;139147_101;23.5 R 25 XHA2 TL;Pneu;Peca;1557;59.9;161.2;161.2
162292;162292;162292_101;27.00 R 49 XDR2 B E4R TL **;Pneu;Peca;5512;73.8;273.3;273.3
171235;171235;171235_199;POWER CABLE - TRANSCEIVER;MEMS;Peca;0;0;0;0
183742;183742;183742_199;MEMS DATA CAPTUR WAND;MEMS;Peca;0;0;0;0
190423;190423;190423_103;11.00 R 22 XZE2+ ;Pneu;Peca;493;33.4;121.5;121.5
199408;199408;199408_101;23.5 R 25 XMINE D2 TL **;Pneu;Peca;1747;63.7;165.6;165.6
241265;241265;241265_101;12 R 16.5 XZSL (300/70 R16.5);Pneu;Peca;105;19.6;73.3;73.3
242046;242046;242046_101;12.00 R 24 XMINE D2 TL;Pneu;Peca;541;33;128;128
243961;243961;243961_9DA;PROTETOR 125-12 LDE;Protetor;Peca;0;0;0;0
251592;251592;251592_101;14.00 R 24 XKD1 A ***;Pneu;Peca;799;40.1;141.2;141.2
263670;263670;263670_101;23.5 R 25 XK A TL **;Pneu;Peca;1640;63.2;161.1;161.1
266823;266823;266823_101;20.5 R 25 XMINE D2 TL;Pneu;Peca;1302;55.6;153;153
267056;267056;267056_199;NEW ANTENNA B (WITH RED MARK) 10M;MEMS;Peca;0;0;0;0
