CNPJ;Bairro;CEP;Código da Empresa;Código do País;Código ERP;Complemento;Gera ASN (Nimbi);Logradouro;Tipo;Município ;UF (RegionCode);Código IBGE (CityCode);Número;País;Razão Social
57012098000467;Campo Grande;23.036-150;Translute;BR;;;Não;Estrada do Mato Alto;Transportadora;Rio de Janeiro;RJ;3304557;86;Brasil;Translute Transportes Rodoviários
03327988000439;Zona Rural;79.301-000;VALE;BR;61276;;Não;Rodovia Morraria de Santa Cruz;CNPJ Vale;Corumbá;MS;5003207;S/N;Brasil;Mineração Corumbaense Reunida S.A.
03327988000196;Zona Rural;79.301-970;VALE;BR;6590355;;Não;Rodovia Morro do Urucum;CNPJ Vale;Corumbá;MS;5003207;S/N;Brasil;Mineração Corumbaense Reunida S.A.
03327988000358;Porto Esperança;79.321-600;VALE;BR;10887864;;Não;Porto Gregório Curvo;CNPJ Vale;Corumbá;MS;5003207;S/N;Brasil;Mineração Corumbaense Reunida S.A.
33592510002106;Parque Industrial;29.090-900;VALE;BR;91782;Ponta de Tubarão;Sim;Avenida Dante Michelini;CNPJ Vale;Vitória;ES;3205309;5500;Brasil;Vale S.A.
33592510016409;Zona Rural;35.901-190;VALE;BR;91791;;Sim;Serra do Esmeril;CNPJ Vale;Itabira;MG;3131703;S/N;Brasil;Vale S.A.
33592510043805;Manoel Plaza;29.160-415;VALE;BR;91803;;Sim;Avenida Norte Sul;CNPJ Vale;Serra;ES;3205002;1494;Brasil;Vale S.A.
33592510042078;;;VALE;BR;175530;;Sim;Fazenda Brasileiro;CNPJ Vale;Teofilândia;BA;2931509;S/N;Brasil;Vale S.A. Mina de Ouro Fazenda Brasileiro
33592510037821;Itaqui;65.085-582;VALE;BR;176372;;Sim;Avenida Dos Portugueses;CNPJ Vale;São Luís;MA;2111300;S/N;Brasil;Vale S.A.
33592510044364;Campo Santa Bárbara;49.760-000;VALE;BR;176436;;Sim;Rodovia SE-206, Km 0;CNPJ Vale;Rosário do Catete;SE;2806107;S/N;Brasil;Vale S.A.
33592510037074;;68.516-000;VALE;BR;176639;Mina de Ferro;Sim;Estrada Raymundo Mascarenhas;CNPJ Vale;Parauapebas;PA;1505536;S/N;Brasil;Vale S.A. Carajás
33592510042400;Itaqui;65.085-582;VALE;BR;176743;;Sim;Avenida dos Portugueses;CNPJ Vale;São Luís;MA;2111300;S/N;Brasil;Vale S.A.
33592510043392;Zona Rural;35.970-000;VALE;BR;177199;;Sim;Fazenda Congo Soco;CNPJ Vale;Barão de Cocais;MG;3105400;S/N;Brasil;Vale S.A. Mina de Congo Soco
33592510041349;Zona Rural;35.940-000;VALE;BR;259741;;Sim;Mina de Morro Agudo;CNPJ Vale;Rio Piracicaba;MG;3155702;S/N;Brasil;Vale S.A. Mina de Morro Agudo
33592510040105;Timbopeba;35.400-000;VALE;BR;361914;;Sim;Estrada de Ferro Vitória Minas, Km 613;CNPJ Vale;Ouro Preto;MG;3146107;S/N;Brasil;Vale S.A.
33592510031548;Centro;35.010-330;VALE;BR;469044;;Sim;Praça João Paulo Pinheiro;CNPJ Vale;Governador Valadares;MG;3127701;S/N;Brasil;Vale S.A.
33592510043473;Itaqui;65.085-582;VALE;BR;837821;Praia do Boqueirão;Sim;Avenida dos Portugueses;CNPJ Vale;São Luís;MA;2111300;S/N;Brasil;Vale S.A.
33592510000740;Miguel Burnier;35.400-000;VALE;BR;890550;Mina Fábrica;Sim;Rodovia BR-040 Km 598;CNPJ Vale;Ouro Preto;MG;3146107;S/N;Brasil;Vale S.A.
33592510000820;Alberto Flores;35.460-000;VALE;BR;890816;;Sim;Fazenda Córrego do Feijão;CNPJ Vale;Brumadinho;MG;3109006;S/N;Brasil;Vale S.A.
33592510041268;Zona Rural;35.420-000;VALE;BR;960159;;Sim;Mina da Alegria;CNPJ Vale;Mariana;MG;3140001;S/N;Brasil;Vale S.A.
33592510022042;Parque Industrial;29.090-900;VALE;BR;1063118;Ponta de Tubarão;Sim;Avenida Dante Michelini;CNPJ Vale;Vitória;ES;3205309;5500;Brasil;Vale S.A.
33592510042663;Interior;68.508-970;VALE;BR;1089481;;Sim;Pat de Cruzamento de Marabá, Km 738 da Estrada de Ferro Carajás;CNPJ Vale;Marabá;PA;1504208;S/N;Brasil;Vale S.A.
33592510042582;;34.505-970;VALE;BR;1146618;;Sim;Córrego do Meio;CNPJ Vale;Sabará;MG;3156700;S/N;Brasil;Vale S.A. Córrego do Meio
